City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Vung Tau,VN,76.23,overcast clouds,10.346,107.0843,Green hotel
618,San Clemente,US,84.56,clear sky,33.427,-117.612,Casablanca Inn
619,Adrar,MR,70.63,overcast clouds,20.5022,-10.0711,
624,Meadow Lake,US,70.57,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
627,Ourossogui,SN,86.67,broken clouds,15.6064,-13.3211,Hotel welma
631,Boende,CD,73.67,overcast clouds,-0.2167,20.8667,
632,Buala,SB,80.55,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
639,Selma,US,78.71,overcast clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
641,Campos Altos,BR,78.28,broken clouds,-19.6961,-46.1714,Hotel São José
644,Yonibana,SL,78.53,light rain,8.4447,-12.245,
645,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
646,Upington,ZA,75.58,clear sky,-28.4478,21.2561,River Place Manor
649,Dwarka,IN,72.14,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
654,El Campo,US,78.89,scattered clouds,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
656,Springdale,US,75.31,clear sky,36.1867,-94.1288,Springdale Inn
661,Sechura,PE,76.89,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
663,Totness,SR,80.91,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
667,Maragogi,BR,81.19,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
669,Poum,NC,81.21,light rain,-20.2333,164.0167,Gîte kajeon
672,Basoko,CD,72.19,moderate rain,1.2391,23.616,Jackyna Hotel
676,Port Keats,AU,83.28,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
677,Baiao,BR,85.55,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
678,Haapiti,PF,83.93,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
679,Ikorodu,NG,82.36,overcast clouds,6.6191,3.5041,Ibisun Hotel & Suites
683,Innisfail,AU,77.05,overcast clouds,-17.5333,146.0333,Moondarra Motel
684,Mercedes,AR,84.18,clear sky,-34.6515,-59.4307,Posada del Inti Centro
686,Wamba,NG,78.04,few clouds,8.9333,8.6,Roma Zee Guest House Annex
