City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Longyearbyen,SJ,78.2186,15.6401,28.24,54,20,23.02,few clouds
112,Barabai,ID,-2.5833,115.3833,73.62,98,100,1.03,light rain
113,Eureka,US,40.8021,-124.1637,50.61,80,0,8.32,clear sky
114,Taoudenni,ML,22.6783,-3.9836,71.8,16,100,8.93,overcast clouds
115,Grand-Santi,GF,4.25,-54.3833,75.45,97,100,1.9,overcast clouds
116,Impfondo,CG,1.6381,18.0667,73.06,97,100,2.77,moderate rain
117,College,US,64.8569,-147.8028,-5.71,76,75,0.0,broken clouds
118,Abu Dhabi,AE,24.4667,54.3667,73.96,74,0,0.0,clear sky
119,Thompson,CA,55.7435,-97.8558,1.18,78,50,4.32,scattered clouds
120,Ponta Do Sol,PT,32.6667,-17.1,65.03,64,1,7.9,clear sky
121,Qui Nhon,VN,13.7667,109.2333,71.08,78,100,16.96,overcast clouds
122,Upernavik,GL,72.7868,-56.1549,25.25,83,100,33.69,overcast clouds
123,Los Palacios,CU,22.5872,-83.2486,77.4,67,88,4.83,overcast clouds
124,Sheboygan,US,43.7333,-87.9334,49.51,51,20,8.01,few clouds
125,Smithers,CA,54.7804,-127.1743,28.15,73,31,1.97,scattered clouds
126,Magadan,RU,59.5667,150.8,0.09,87,100,14.7,overcast clouds
127,Verkhnevilyuysk,RU,63.4453,120.3167,-27.45,99,69,4.38,broken clouds
128,Meulaboh,ID,4.1363,96.1285,76.66,89,97,3.44,overcast clouds
129,Aswan,EG,24.0934,32.907,65.28,36,99,11.95,overcast clouds
130,New Norfolk,AU,-42.7826,147.0587,54.66,63,26,3.0,scattered clouds
131,Manono,CD,-7.3,27.4167,71.06,87,85,2.28,overcast clouds
132,La Ronge,CA,55.1001,-105.2842,14.36,87,100,6.8,overcast clouds
133,Port Lincoln,AU,-34.7333,135.8667,59.07,68,100,9.73,overcast clouds
134,Maldonado,UY,-34.6667,-54.9167,70.99,56,7,13.58,clear sky
135,Opuwo,NA,-18.0607,13.84,71.73,35,60,5.68,broken clouds
136,Cabo San Lucas,MX,22.8909,-109.9124,90.7,49,1,3.44,clear sky
137,Nuuk,GL,64.1835,-51.7216,25.88,73,100,11.01,overcast clouds
138,Narsaq,GL,60.9167,-46.05,12.11,86,53,2.46,broken clouds
139,Husavik,IS,66.0449,-17.3389,29.14,83,100,14.9,overcast clouds
140,Kismayo,SO,-0.3582,42.5454,80.01,78,42,9.57,light rain
141,Freeport,US,40.6576,-73.5832,59.22,71,90,11.99,overcast clouds
142,Lai,TD,9.3952,16.2989,81.84,23,52,4.81,broken clouds
143,Grindavik,IS,63.8424,-22.4338,39.67,75,75,23.02,broken clouds
144,Dikson,RU,73.5069,80.5464,-6.41,97,100,4.72,overcast clouds
145,Hermanus,ZA,-34.4187,19.2345,61.9,77,0,12.06,clear sky
146,Shafranovo,RU,53.9667,54.7667,26.31,91,80,13.47,broken clouds
147,Leningradskiy,RU,69.3833,178.4167,-4.02,92,100,12.59,overcast clouds
148,Raduzhnyy,RU,62.0961,77.475,30.65,97,100,12.64,snow
149,Havelock,US,34.8791,-76.9013,72.05,59,42,8.99,scattered clouds
150,Sarka Ghat,IN,31.7,76.7333,55.29,39,95,2.33,overcast clouds
151,Marabba,SD,12.35,32.1833,85.6,23,0,10.38,clear sky
152,Pevek,RU,69.7008,170.3133,-0.15,83,100,5.26,overcast clouds
153,Villa Sandino,NI,12.0483,-84.9936,76.12,88,94,14.81,overcast clouds
154,Dakar,SN,14.6937,-17.4441,76.08,71,85,20.33,overcast clouds
155,Shingu,JP,33.7333,135.9833,46.63,88,100,4.05,overcast clouds
156,Souillac,MU,-20.5167,57.5167,78.37,82,18,11.77,light rain
157,Muros,ES,42.7762,-9.0603,52.84,90,30,9.37,scattered clouds
158,Mandera,KE,3.9366,41.867,86.4,40,19,2.42,few clouds
159,Kahului,US,20.8947,-156.47,83.46,65,1,5.75,clear sky
160,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,25,40,19.57,scattered clouds
161,Zhangjiakou,CN,40.81,114.8794,27.55,50,1,8.21,clear sky
162,Korla,CN,41.7597,86.1469,23.58,54,0,2.73,clear sky
163,Walvis Bay,NA,-22.9575,14.5053,59.09,85,11,8.37,few clouds
164,Svencionys,LT,55.15,26.1667,32.07,83,100,16.67,overcast clouds
165,Kodiak,US,57.79,-152.4072,18.91,45,1,17.27,clear sky
166,Cabedelo,BR,-6.9811,-34.8339,83.07,71,100,11.27,overcast clouds
167,Piacabucu,BR,-10.4056,-36.4344,81.64,70,72,13.78,broken clouds
168,Badajoz,ES,38.6667,-6.1667,46.74,63,0,6.64,clear sky
169,Tailai,CN,46.3833,123.4,11.07,80,2,7.25,clear sky
170,Keshabpur,BD,22.9183,89.2112,67.75,58,48,1.48,scattered clouds
171,Port Hardy,CA,50.6996,-127.4199,40.75,87,75,9.22,light intensity shower rain
172,Kanniyakumari,IN,8.0833,77.5667,79.29,83,100,10.0,overcast clouds
