Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.20810615938975566,-0.828016130819782,0.8890858826218234,3,Komodo
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.39549086743934936,1.2233740352601563,-0.4786144267348954,0,GoldBlocks
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.3251823559606269,1.0930846449110552,-0.5239565601996236,0,CarterCoin
KRB,CryptoNight,PoW,7822432.72439746,10000000.0,0.2974320012980206,-2.3494362966106546,0.39146525304069746,3,Karbo
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.3079267601600073,0.8489401766848456,-0.4446134455874176,0,BitTokens
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.14009602457809256,-1.3266138310246387,0.08529710038297962,3,ZayedCoin
MST,X11,PoW/PoS,657636.34549789,3000000.0,-0.39600553716159154,1.2233926197575122,-0.4786066350408006,0,MustangCoin
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.3261662109433537,1.0931050938532463,-0.5239386422164145,0,ZoneCoin
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.09765336408607683,-1.8446532530446524,0.28749543328168575,3,Circuits of Value
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.3263227041491157,1.0931155971563926,-0.5239372459808829,0,RootCoin
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.15566273387887372,-1.0825065040446678,0.00592363649280675,3,DopeCoin
BTCR,Scrypt,PoS,169598616.0,0.0,-0.29264772077055007,0.8060309058282895,-0.20688360271548423,0,BitCurrency
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.14005468931396722,-1.3266132460388615,0.08529605802622826,3,DollarCoin
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.2236948308801625,0.47375577322641155,-0.3102168099883512,0,Swiscoin
SH,Scrypt,PoW,11119200.0,30000000.0,-0.15815676547837768,-1.0824582196521477,0.005969770210091021,3,Shilling
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.038408687586834724,1.9312711455078344,-0.7408762809610874,0,BuzzCoin
XPO,PoS,PoS,74033806.7949683,74000000.0,-0.36649525665297544,1.5085323823501264,0.027892354969390708,0,Opair
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.32593715903729636,1.0931271405413474,-0.5239481888311638,0,PesoBit
